#1576760503	meting	meettijd	temp	pressure	humidity
1	1576760503	21.17	23.00	100687.16	44.62
2	1576760508	21.36	23.00	100692.14	47.83
3	1576760513	21.37	23.00	100694.55	43.92
4	1576760518	21.36	23.00	100691.91	39.69
5	1576760523	21.41	23.00	100692.78	44.96
6	1576760528	21.42	23.00	100692.99	43.18
7	1576760533	21.41	23.00	100662.39	40.95
8	1576760538	21.41	23.00	100666.64	40.13
9	1576760543	21.38	23.00	100679.23	38.83
10	1576760548	21.38	23.00	100689.35	38.47
11	1576760553	21.37	23.00	100687.69	38.18
12	1576760558	21.35	23.00	100688.99	38.02
13	1576760563	21.35	23.00	100691.74	38.06
14	1576760568	21.35	23.00	100688.78	37.90
15	1576760574	21.37	23.00	100692.44	39.51
16	1576760579	21.35	23.00	100689.50	38.10
17	1576760584	21.32	23.00	100688.66	37.97
18	1576760589	21.31	23.00	100687.77	38.03
19	1576760594	21.31	23.00	100688.00	37.91
20	1576760599	21.31	23.00	100687.34	37.80
21	1576760604	21.30	23.00	100687.42	37.75
22	1576760609	21.28	23.00	100684.10	37.69
23	1576760614	21.29	23.00	100686.49	37.70
24	1576760619	21.27	23.00	100690.08	37.69
25	1576760624	21.27	23.00	100685.39	37.71
26	1576760629	21.29	23.00	100687.94	37.96
27	1576760634	21.29	23.00	100672.22	37.86
28	1576760639	21.29	23.00	100669.96	37.81
29	1576760644	21.29	23.00	100684.73	37.87
30	1576760649	21.29	23.00	100685.82	37.85
31	1576760654	21.30	23.00	100686.87	38.28
32	1576760659	21.30	23.00	100686.83	38.75
33	1576760664	21.29	23.00	100686.80	38.03
34	1576760669	21.28	23.00	100685.53	38.03
35	1576760674	21.27	23.00	100665.39	37.87
#1576760681	meting	meettijd	temp	pressure	humidity
1	1576760681	20.97	23.00	100684.57	38.14
2	1576760687	21.20	23.00	100685.28	37.97
3	1576760692	21.19	23.00	100681.15	37.90
4	1576760697	21.20	23.00	100683.85	37.89
5	1576760702	21.21	23.00	100684.15	37.96
6	1576760707	24.50	23.00	100690.53	49.03
7	1576760712	24.56	23.00	100684.19	73.02
8	1576760717	24.40	23.00	100686.21	63.80
9	1576760722	24.12	23.00	100683.82	63.39
#1576760729	meting	meettijd	temp	pressure	humidity
1	1576760729	23.46	23.00	100687.85	58.08
2	1576760734	23.33	23.00	100687.27	47.23
3	1576760739	23.08	23.00	100665.92	43.16
4	1576760744	22.87	23.00	100676.49	43.01
5	1576760749	22.73	23.00	100674.72	48.96
6	1576760754	22.60	23.00	100683.74	45.89
